date,tmin,tmax,precip,condition
2017-01-01,-5.5,5.0,13.0,rain
2017-01-02,-8.8,3.3,0.0,sun
2017-01-03,-3.2,4.4,257.0,rain
2017-01-04,0.0,7.2,30.0,rain
2017-01-05,-3.8,0.6,0.0,sun
2017-01-06,-7.7,-1.0,0.0,fog
2017-01-07,-11.6,-6.6,51.0,snow
2017-01-08,-12.7,-6.0,6.0,snow
2017-01-09,-17.1,-8.2,0.0,sun
2017-01-10,-14.3,5.6,51.0,rain
2017-01-11,1.7,12.2,58.0,rain
2017-01-12,3.9,10.0,28.0,rain
2017-01-13,-8.2,11.1,0.0,sun
2017-01-14,-12.1,-3.8,0.0,sun
2017-01-15,-9.9,1.1,0.0,sun
2017-01-16,-10.5,3.9,0.0,sun
2017-01-17,-7.1,4.4,10.0,snow
2017-01-18,-3.8,0.6,216.0,snow
2017-01-19,-3.8,4.4,21.0,snow
2017-01-20,-5.5,4.4,0.0,sun
2017-01-21,2.2,7.2,0.0,sun
2017-01-22,0.6,3.3,0.0,sun
2017-01-23,-1.0,0.6,0.0,sun
2017-01-24,-1.6,1.1,365.0,snow
2017-01-25,-2.1,5.6,3.0,rain
2017-01-26,-2.1,8.3,0.0,sun
2017-01-27,1.1,6.1,0.0,sun
2017-01-28,-1.0,4.4,0.0,sun
2017-01-29,-3.2,5.6,0.0,sun
2017-01-30,-7.1,1.7,0.0,sun
2017-01-31,-11.0,-3.8,0.0,sun
2017-02-01,-6.6,1.1,18.0,snow
2017-02-02,-6.0,3.3,0.0,sun
2017-02-03,-9.3,0.6,0.0,sun
2017-02-04,-9.9,-1.0,0.0,sun
2017-02-05,-5.5,3.9,0.0,sun
2017-02-06,-4.9,0.6,0.0,sun
2017-02-07,-8.8,-3.8,249.0,snow
2017-02-08,-9.3,10.0,38.0,snow
2017-02-09,-12.1,0.0,300.0,snow
2017-02-10,-16.0,-9.9,0.0,sun
2017-02-11,-13.8,-9.3,205.0,snow
2017-02-12,-9.3,-4.9,526.0,snow
2017-02-13,-6.6,-2.7,282.0,snow
2017-02-14,-12.1,-1.0,0.0,sun
2017-02-15,-8.8,3.9,277.0,snow
2017-02-16,-5.5,1.7,163.0,snow
2017-02-17,-11.0,3.3,0.0,sun
2017-02-18,-9.3,5.0,0.0,sun
2017-02-19,-2.1,12.8,0.0,sun
2017-02-20,-3.8,5.6,0.0,sun
2017-02-21,-9.3,2.8,0.0,sun
2017-02-22,-2.1,9.4,0.0,sun
2017-02-23,-3.2,10.6,0.0,fog
2017-02-24,2.8,11.7,8.0,rain
2017-02-25,1.7,10.0,64.0,rain
2017-02-26,-3.8,7.8,36.0,rain
2017-02-27,-3.8,11.1,0.0,sun
2017-02-28,0.0,7.8,0.0,fog
2017-03-01,4.4,8.9,20.0,rain
2017-03-02,-4.9,12.2,0.0,fog
2017-03-03,-8.8,0.6,0.0,sun
2017-03-04,-13.8,-8.2,0.0,sun
2017-03-05,-13.2,-0.5,0.0,sun
2017-03-06,-14.9,4.4,0.0,sun
2017-03-07,-3.8,4.4,15.0,rain
2017-03-08,1.1,12.2,38.0,rain
2017-03-09,-1.6,6.1,0.0,sun
2017-03-10,-8.2,-0.5,43.0,snow
2017-03-11,-16.0,-8.2,0.0,sun
2017-03-12,-17.1,-3.8,0.0,sun
2017-03-13,-14.3,0.0,0.0,sun
2017-03-14,-6.6,-1.6,777.0,snow
2017-03-15,-6.6,-0.5,6.0,snow
2017-03-16,-9.3,-0.5,0.0,sun
2017-03-17,-12.7,2.2,0.0,sun
2017-03-18,-11.6,0.0,0.0,sun
2017-03-19,-3.2,4.4,0.0,sun
2017-03-20,-1.0,10.0,0.0,sun
2017-03-21,-1.0,8.3,0.0,sun
2017-03-22,-8.8,1.1,3.0,rain
2017-03-23,-9.9,1.1,0.0,sun
2017-03-24,-5.5,2.2,86.0,snow
2017-03-25,-1.6,5.6,0.0,sun
2017-03-26,-5.5,1.7,0.0,sun
2017-03-27,0.6,2.8,191.0,rain
2017-03-28,0.0,2.2,64.0,rain
2017-03-29,1.1,7.8,18.0,rain
2017-03-30,0.0,9.4,0.0,sun
2017-03-31,-0.5,3.3,167.0,snow
2017-04-01,0.0,1.1,483.0,snow
2017-04-02,-0.5,10.0,0.0,fog
2017-04-03,-3.2,11.1,0.0,sun
2017-04-04,1.1,5.0,183.0,rain
2017-04-05,1.1,6.1,3.0,rain
2017-04-06,2.2,7.8,465.0,rain
2017-04-07,4.4,10.6,0.0,fog
2017-04-08,2.8,9.4,0.0,sun
2017-04-09,-1.6,15.0,0.0,sun
2017-04-10,0.6,18.9,0.0,sun
2017-04-11,5.0,24.4,0.0,sun
2017-04-12,6.7,15.6,51.0,rain
2017-04-13,1.1,15.6,0.0,sun
2017-04-14,0.0,16.1,0.0,sun
2017-04-15,-1.0,17.2,0.0,sun
2017-04-16,8.3,30.0,8.0,rain
2017-04-17,6.7,20.6,0.0,sun
2017-04-18,0.0,9.4,0.0,sun
2017-04-19,-1.0,7.8,41.0,rain
2017-04-20,5.6,12.2,0.0,fog
2017-04-21,3.3,5.6,91.0,rain
2017-04-22,2.2,5.6,33.0,rain
2017-04-23,1.1,15.6,0.0,fog
2017-04-24,1.7,16.7,0.0,sun
2017-04-25,5.0,8.9,137.0,rain
2017-04-26,7.2,12.2,333.0,rain
2017-04-27,8.3,15.6,0.0,fog
2017-04-28,7.8,18.9,0.0,fog
2017-04-29,7.8,27.2,0.0,sun
2017-04-30,5.0,11.7,0.0,sun
2017-05-01,5.6,6.7,33.0,rain
2017-05-02,5.6,13.9,84.0,rain
2017-05-03,3.9,17.8,0.0,sun
2017-05-04,1.1,14.4,0.0,sun
2017-05-05,6.7,10.0,173.0,rain
2017-05-06,8.3,15.0,33.0,rain
2017-05-07,8.3,15.6,3.0,rain
2017-05-08,4.4,11.7,13.0,rain
2017-05-09,0.0,11.7,0.0,fog
2017-05-10,5.6,13.3,0.0,sun
2017-05-11,6.7,12.8,3.0,rain
2017-05-12,7.8,15.0,0.0,fog
2017-05-13,3.9,14.4,0.0,fog
2017-05-14,7.2,8.9,183.0,rain
2017-05-15,6.1,13.9,10.0,rain
2017-05-16,4.4,25.0,0.0,sun
2017-05-17,8.3,25.0,0.0,sun
2017-05-18,15.0,33.9,0.0,sun
2017-05-19,11.7,29.4,0.0,sun
2017-05-20,8.3,20.0,0.0,sun
2017-05-21,3.9,18.3,0.0,sun
2017-05-22,8.9,13.3,135.0,rain
2017-05-23,10.0,19.4,0.0,fog
2017-05-24,9.4,20.0,0.0,sun
2017-05-25,8.3,13.9,262.0,rain
2017-05-26,8.9,13.3,442.0,rain
2017-05-27,8.9,17.2,0.0,fog
2017-05-28,7.2,15.0,0.0,sun
2017-05-29,7.8,9.4,5.0,rain
2017-05-30,8.3,12.8,0.0,fog
2017-05-31,10.6,16.1,132.0,rain
2017-06-01,10.0,22.2,28.0,rain
2017-06-02,7.8,20.0,3.0,rain
2017-06-03,6.7,18.9,0.0,sun
2017-06-04,6.7,21.7,10.0,rain
2017-06-05,10.6,14.4,36.0,rain
2017-06-06,8.9,11.7,183.0,rain
2017-06-07,8.9,20.6,8.0,rain
2017-06-08,8.3,23.9,0.0,sun
2017-06-09,10.6,23.3,0.0,sun
2017-06-10,11.1,24.4,0.0,sun
2017-06-11,18.3,32.8,0.0,sun
2017-06-12,18.9,31.7,0.0,sun
2017-06-13,18.3,32.8,0.0,sun
2017-06-14,11.1,24.4,0.0,sun
2017-06-15,8.3,20.0,0.0,sun
2017-06-16,13.3,16.1,104.0,rain
2017-06-17,13.3,21.7,5.0,rain
2017-06-18,15.6,25.0,3.0,rain
2017-06-19,18.3,27.2,84.0,rain
2017-06-20,17.8,28.3,0.0,fog
2017-06-21,15.6,27.8,0.0,sun
2017-06-22,12.2,27.8,0.0,sun
2017-06-23,15.6,23.3,0.0,fog
2017-06-24,18.3,29.4,0.0,fog
2017-06-25,15.0,27.8,0.0,sun
2017-06-26,14.4,24.4,0.0,sun
2017-06-27,13.3,23.3,51.0,rain
2017-06-28,10.0,24.4,15.0,rain
2017-06-29,11.1,23.3,43.0,rain
2017-06-30,15.6,24.4,94.0,rain
2017-07-01,17.8,26.1,0.0,fog
2017-07-02,18.3,30.6,0.0,fog
2017-07-03,16.1,28.9,0.0,sun
2017-07-04,13.9,27.8,0.0,sun
2017-07-05,12.2,27.8,0.0,sun
2017-07-06,15.0,23.3,0.0,sun
2017-07-07,14.4,22.8,3.0,rain
2017-07-08,13.3,24.4,46.0,rain
2017-07-09,15.0,27.8,0.0,sun
2017-07-10,15.0,27.8,0.0,sun
2017-07-11,17.2,25.6,3.0,rain
2017-07-12,17.8,28.3,0.0,fog
2017-07-13,14.4,19.4,10.0,rain
2017-07-14,12.8,20.0,0.0,sun
2017-07-15,15.6,22.8,0.0,sun
2017-07-16,14.4,27.8,0.0,fog
2017-07-17,16.7,25.6,0.0,fog
2017-07-18,18.9,25.6,145.0,rain
2017-07-19,19.4,26.7,0.0,fog
2017-07-20,18.9,31.1,0.0,fog
2017-07-21,18.3,30.6,0.0,sun
2017-07-22,18.9,30.0,0.0,sun
2017-07-23,15.0,22.2,0.0,sun
2017-07-24,12.8,18.9,61.0,rain
2017-07-25,12.8,22.8,0.0,sun
2017-07-26,13.3,26.7,0.0,sun
2017-07-27,16.7,23.9,0.0,sun
2017-07-28,15.6,28.9,0.0,fog
2017-07-29,11.1,23.9,0.0,sun
2017-07-30,10.0,26.7,0.0,sun
2017-07-31,11.1,27.2,0.0,sun
2017-08-01,17.2,30.0,0.0,sun
2017-08-02,15.6,28.9,0.0,fog
2017-08-03,18.3,26.7,0.0,fog
2017-08-04,17.2,25.0,0.0,sun
2017-08-05,16.7,22.8,13.0,rain
2017-08-06,13.9,25.0,0.0,sun
2017-08-07,11.1,26.1,5.0,rain
2017-08-08,15.0,22.8,36.0,rain
2017-08-09,11.7,27.8,0.0,fog
2017-08-10,15.0,27.2,0.0,sun
2017-08-11,16.7,26.1,0.0,fog
2017-08-12,17.8,22.8,20.0,rain
2017-08-13,16.1,30.0,3.0,rain
2017-08-14,12.8,27.2,0.0,sun
2017-08-15,15.0,26.1,0.0,fog
2017-08-16,13.3,27.8,0.0,sun
2017-08-17,10.0,28.3,0.0,sun
2017-08-18,15.6,19.4,485.0,rain
2017-08-19,15.6,26.7,3.0,rain
2017-08-20,16.7,28.9,0.0,sun
2017-08-21,14.4,30.0,0.0,sun
2017-08-22,16.1,27.8,91.0,rain
2017-08-23,15.6,26.7,104.0,rain
2017-08-24,12.2,26.1,0.0,sun
2017-08-25,11.7,23.3,0.0,sun
2017-08-26,10.0,23.9,0.0,sun
2017-08-27,10.0,23.3,0.0,sun
2017-08-28,10.0,22.8,0.0,sun
2017-08-29,8.3,20.6,0.0,sun
2017-08-30,11.1,23.3,0.0,sun
2017-08-31,10.0,25.0,0.0,sun
2017-09-01,7.8,18.9,0.0,sun
2017-09-02,6.1,21.7,0.0,sun
2017-09-03,10.6,17.8,231.0,rain
2017-09-04,12.8,24.4,3.0,rain
2017-09-05,16.7,26.1,0.0,sun
2017-09-06,15.0,22.2,157.0,rain
2017-09-07,13.9,23.3,155.0,rain
2017-09-08,9.4,22.2,3.0,rain
2017-09-09,10.6,22.2,0.0,sun
2017-09-10,10.6,22.2,0.0,sun
2017-09-11,9.4,26.1,0.0,sun
2017-09-12,10.0,25.0,0.0,sun
2017-09-13,11.1,26.7,0.0,sun
2017-09-14,12.8,26.7,0.0,sun
2017-09-15,16.7,22.2,0.0,fog
2017-09-16,16.1,26.7,0.0,fog
2017-09-17,15.6,23.3,0.0,fog
2017-09-18,15.0,19.4,0.0,fog
2017-09-19,15.6,20.6,10.0,rain
2017-09-20,18.3,23.9,0.0,fog
2017-09-21,16.1,23.9,0.0,sun
2017-09-22,13.3,21.1,0.0,sun
2017-09-23,13.3,27.8,0.0,sun
2017-09-24,16.1,30.0,0.0,sun
2017-09-25,16.7,28.3,0.0,fog
2017-09-26,15.6,27.2,0.0,fog
2017-09-27,15.0,28.9,0.0,fog
2017-09-28,8.9,24.4,0.0,sun
2017-09-29,7.8,18.3,0.0,sun
2017-09-30,5.0,13.3,8.0,rain
2017-10-01,3.3,18.3,0.0,sun
2017-10-02,4.4,20.6,0.0,sun
2017-10-03,4.4,17.8,0.0,sun
2017-10-04,8.3,23.3,0.0,sun
2017-10-05,11.1,24.4,0.0,sun
2017-10-06,7.8,20.0,8.0,rain
2017-10-07,8.3,19.4,0.0,fog
2017-10-08,16.7,22.8,30.0,rain
2017-10-09,15.0,19.4,117.0,rain
2017-10-10,12.8,25.0,0.0,fog
2017-10-11,10.6,21.1,3.0,rain
2017-10-12,2.2,14.4,0.0,sun
2017-10-13,0.6,15.6,0.0,sun
2017-10-14,11.1,21.1,0.0,fog
2017-10-15,12.8,21.1,0.0,fog
2017-10-16,6.7,20.0,0.0,sun
2017-10-17,0.6,13.3,0.0,sun
2017-10-18,4.4,21.7,0.0,sun
2017-10-19,3.9,19.4,0.0,sun
2017-10-20,7.2,21.1,0.0,sun
2017-10-21,5.6,21.1,0.0,sun
2017-10-22,7.2,16.7,0.0,fog
2017-10-23,10.6,16.7,0.0,fog
2017-10-24,13.9,17.8,15.0,rain
2017-10-25,14.4,18.3,351.0,rain
2017-10-26,8.3,15.6,447.0,rain
2017-10-27,4.4,15.6,0.0,sun
2017-10-28,1.7,15.6,0.0,sun
2017-10-29,13.3,16.7,142.0,rain
2017-10-30,7.8,17.2,193.0,rain
2017-10-31,5.6,13.9,0.0,sun
2017-11-01,-1.0,11.7,0.0,sun
2017-11-02,11.1,15.0,0.0,fog
2017-11-03,6.7,21.1,0.0,sun
2017-11-04,2.8,11.7,0.0,sun
2017-11-05,3.9,13.3,8.0,rain
2017-11-06,6.7,16.7,81.0,rain
2017-11-07,1.7,8.9,0.0,sun
2017-11-08,-3.8,6.7,0.0,sun
2017-11-09,-5.5,8.9,0.0,sun
2017-11-10,-6.0,9.4,8.0,rain
2017-11-11,-8.2,2.2,0.0,sun
2017-11-12,-4.3,5.6,0.0,sun
2017-11-13,-5.5,1.7,26.0,snow
2017-11-14,-0.5,6.1,0.0,sun
2017-11-15,-3.8,5.0,0.0,sun
2017-11-16,-3.2,8.9,140.0,rain
2017-11-17,-4.9,5.6,0.0,fog
2017-11-18,-6.0,10.0,56.0,rain
2017-11-19,0.0,13.3,109.0,rain
2017-11-20,-3.2,3.9,0.0,sun
2017-11-21,-4.3,11.1,0.0,sun
2017-11-22,0.0,7.2,109.0,rain
2017-11-23,-3.8,5.0,0.0,sun
2017-11-24,-2.7,8.3,0.0,sun
2017-11-25,2.2,11.1,0.0,sun
2017-11-26,-3.2,8.9,0.0,sun
2017-11-27,-6.6,6.1,0.0,sun
2017-11-28,-8.2,3.9,0.0,sun
2017-11-29,-0.5,15.0,0.0,sun
2017-11-30,-5.5,7.8,0.0,sun
2017-12-01,-1.6,8.3,20.0,rain
2017-12-02,-2.1,4.4,0.0,sun
2017-12-03,-3.8,5.6,0.0,sun
2017-12-04,-5.5,5.0,0.0,sun
2017-12-05,-1.6,11.1,86.0,rain
2017-12-06,-0.5,12.2,79.0,rain
2017-12-07,-2.1,6.1,0.0,sun
2017-12-08,-1.6,3.3,0.0,sun
2017-12-09,-1.6,2.2,281.0,snow
2017-12-10,-3.2,2.8,10.0,snow
2017-12-11,-3.2,3.3,0.0,sun
2017-12-12,-7.1,0.6,264.0,snow
2017-12-13,-8.2,-0.5,0.0,sun
2017-12-14,-9.9,-3.2,0.0,sun
2017-12-15,-14.3,-4.9,6.0,snow
2017-12-16,-11.6,-0.5,0.0,sun
2017-12-17,-14.9,-3.2,0.0,sun
2017-12-18,-13.2,-3.2,153.0,snow
2017-12-19,-5.5,6.1,8.0,rain
2017-12-20,-4.9,4.4,0.0,sun
2017-12-21,-8.8,-3.8,,sun
2017-12-22,-9.3,-6.6,142.0,snow
2017-12-23,-8.2,1.1,,rain
2017-12-24,-4.9,1.1,0.0,sun
2017-12-25,-9.3,-1.6,213.0,snow
2017-12-26,-13.2,-4.9,0.0,sun
2017-12-27,-17.7,-9.3,0.0,sun
2017-12-28,-21.0,-13.2,0.0,sun
2017-12-29,-24.9,-14.3,15.0,snow
2017-12-30,-24.9,-11.0,0.0,fog
2017-12-31,-23.2,-11.6,0.0,sun
2018-01-01,-27.1,-12.1,0.0,fog
2018-01-02,-26.6,-11.0,0.0,sun
2018-01-03,-13.8,-3.2,0.0,sun
2018-01-04,-15.5,-1.0,459.0,snow
2018-01-05,-17.7,-4.3,6.0,snow
2018-01-06,-20.5,-15.5,0.0,sun
2018-01-07,-24.3,-9.9,0.0,sun
2018-01-08,-11.6,-1.0,8.0,snow
2018-01-09,-6.6,3.9,0.0,sun
2018-01-10,-12.1,1.1,0.0,sun
2018-01-11,0.0,8.3,0.0,fog
2018-01-12,3.9,9.4,150.0,rain
2018-01-13,-8.8,10.0,185.0,rain
2018-01-14,-12.7,-6.6,0.0,sun
2018-01-15,-16.0,-8.2,11.0,snow
2018-01-16,-9.9,-2.7,21.0,snow
2018-01-17,-3.8,-1.6,244.0,snow
2018-01-18,-10.5,-1.0,0.0,fog
2018-01-19,-11.6,0.0,0.0,fog
2018-01-20,-1.6,8.3,0.0,sun
2018-01-21,-2.1,6.1,0.0,sun
2018-01-22,-6.0,1.7,38.0,snow
2018-01-23,-5.5,2.8,193.0,rain
2018-01-24,-7.7,3.3,0.0,sun
2018-01-25,-11.0,-4.3,0.0,sun
2018-01-26,-13.2,-0.5,0.0,sun
2018-01-27,-10.5,8.3,0.0,sun
2018-01-28,-0.5,8.9,0.0,sun
2018-01-29,-4.9,1.7,0.0,sun
2018-01-30,-7.7,-4.9,0.0,sun
2018-01-31,-12.1,-0.5,0.0,sun
2018-02-01,-3.2,3.3,66.0,snow
2018-02-02,-16.0,3.3,56.0,snow
2018-02-03,-16.6,-4.9,0.0,fog
2018-02-04,-6.0,5.6,160.0,rain
2018-02-05,-7.1,6.1,86.0,rain
2018-02-06,-8.2,-0.5,0.0,sun
2018-02-07,-8.8,-3.2,412.0,snow
2018-02-08,-10.5,-2.1,0.0,sun
2018-02-09,-13.2,-2.1,3.0,snow
2018-02-10,-4.3,5.0,69.0,snow
2018-02-11,0.6,3.3,132.0,rain
2018-02-12,-4.3,3.3,0.0,fog
2018-02-13,-8.2,-1.6,0.0,sun
2018-02-14,-2.7,7.2,0.0,sun
2018-02-15,-3.8,6.7,0.0,fog
2018-02-16,-2.7,7.8,25.0,rain
2018-02-17,-6.6,1.7,69.0,snow
2018-02-18,-6.0,4.4,251.0,snow
2018-02-19,-8.8,5.6,3.0,rain
2018-02-20,2.8,6.7,3.0,rain
2018-02-21,1.7,20.0,0.0,sun
2018-02-22,-2.1,7.2,0.0,sun
2018-02-23,-4.3,2.2,61.0,snow
2018-02-24,-0.5,11.1,0.0,fog
2018-02-25,-1.0,3.3,163.0,snow
2018-02-26,-1.0,10.0,0.0,sun
2018-02-27,-3.8,8.9,0.0,sun
2018-02-28,1.1,14.4,0.0,sun
2018-03-01,1.1,11.1,0.0,sun
2018-03-02,0.0,4.4,25.0,rain
2018-03-03,1.7,6.7,0.0,sun
2018-03-04,0.0,5.6,11.0,snow
2018-03-05,-0.5,6.1,48.0,snow
2018-03-06,-0.5,3.9,0.0,sun
2018-03-07,-0.5,0.6,229.0,snow
2018-03-08,-1.6,0.6,520.0,snow
2018-03-09,-6.6,1.7,0.0,fog
2018-03-10,-5.5,3.9,0.0,fog
2018-03-11,-1.6,5.0,0.0,sun
2018-03-12,-4.9,2.8,0.0,sun
2018-03-13,-2.1,2.2,554.0,snow
2018-03-14,0.0,3.3,135.0,snow
2018-03-15,0.0,4.4,0.0,fog
2018-03-16,-4.3,2.2,0.0,sun
2018-03-17,-9.9,-1.0,0.0,sun
2018-03-18,-13.2,-2.1,0.0,sun
2018-03-19,-12.1,0.6,0.0,sun
2018-03-20,-7.7,3.9,0.0,sun
2018-03-21,-3.2,3.9,0.0,sun
2018-03-22,-1.0,6.1,46.0,snow
2018-03-23,-2.7,7.8,0.0,sun
2018-03-24,0.6,7.2,16.0,snow
2018-03-25,-2.7,3.9,0.0,fog
2018-03-26,-4.3,5.0,0.0,sun
2018-03-27,-6.0,8.3,0.0,sun
2018-03-28,0.0,8.9,3.0,rain
2018-03-29,-1.6,10.0,51.0,rain
2018-03-30,5.0,14.4,15.0,rain
2018-03-31,1.7,11.1,0.0,sun
2018-04-01,-0.5,13.9,0.0,sun
2018-04-02,-2.7,3.3,26.0,snow
2018-04-03,-2.1,7.2,43.0,rain
2018-04-04,2.8,6.7,168.0,rain
2018-04-05,-3.2,4.4,0.0,sun
2018-04-06,-4.9,4.4,49.0,snow
2018-04-07,-1.0,7.8,15.0,rain
2018-04-08,-3.2,6.7,0.0,sun
2018-04-09,-3.2,6.1,0.0,fog
2018-04-10,-2.7,4.4,0.0,sun
2018-04-11,-3.8,7.2,0.0,fog
2018-04-12,-2.1,10.0,46.0,rain
2018-04-13,5.6,16.7,13.0,rain
2018-04-14,0.0,8.9,0.0,sun
2018-04-15,-2.7,0.6,28.0,snow
2018-04-16,0.6,8.3,610.0,rain
2018-04-17,2.8,8.3,0.0,fog
